,epoch,train_loss,test_loss,train_acc,test_acc
0,1,1.9915344500038308,1.7000686825273899,0.26488,0.3681
1,2,1.6382227824882902,1.6260740943610097,0.39156,0.4241
2,3,1.4496609874818085,1.5115840834931444,0.4662,0.4628
3,4,1.3120893759751884,1.2801609705812254,0.52238,0.5398
4,5,1.1849743450443027,1.111124651310162,0.5716,0.5966
5,6,1.079405452548428,1.097829077952205,0.61226,0.6139
6,7,0.9911857856174195,1.097786772174957,0.64766,0.6168
7,8,0.9110918908033779,0.9348611039475511,0.67752,0.6639
8,9,0.8323620432702991,0.8202099400206496,0.70686,0.7117
9,10,0.7697747437830392,0.8108071076412933,0.72892,0.7129
10,11,0.7155442734273366,0.755884017616796,0.74982,0.7384
11,12,0.6586128814683384,0.7082943341221672,0.77192,0.7617
12,13,0.6185688166208779,0.6073242409255939,0.78424,0.7919
13,14,0.5789458051333425,0.668499656759512,0.7998,0.7659
14,15,0.5478029502549769,0.6994495536096561,0.8097,0.7674
15,16,0.5170824461481316,0.628510089013904,0.82188,0.7903
16,17,0.49040572745671884,0.5847503533854652,0.83136,0.8056
17,18,0.46528653001564096,0.5027094573829882,0.83712,0.831
18,19,0.445434972434111,0.4678461010844563,0.84516,0.8425
19,20,0.4282980054397653,0.4812742509780981,0.85192,0.8374
20,21,0.40638271180325336,0.5384857825720653,0.85988,0.8225
21,22,0.3876262820627891,0.5627065955069118,0.86496,0.8147
22,23,0.3726727051001402,0.6374172167703748,0.8721,0.7886
23,24,0.3613675848359834,0.5409664694017495,0.87474,0.8258
24,25,0.34793886020350595,0.439608432447758,0.87906,0.8535
25,26,0.3324929192121202,0.5057039700996,0.88428,0.8331
26,27,0.3227790054279455,0.4514361633517491,0.88808,0.8504
27,28,0.3090391305804977,0.4115378586248087,0.8934,0.8645
28,29,0.3021879474395887,0.49566652054508653,0.89562,0.8391
29,30,0.2846423216433439,0.4224042061942454,0.90164,0.863
30,31,0.27867256957675335,0.425239463369496,0.90358,0.8631
31,32,0.26612266286449676,0.44657841129615283,0.9075,0.8573
32,33,0.26262116377252037,0.45172918422486835,0.90832,0.8495
33,34,0.25444772852297515,0.44613649929388643,0.91152,0.8608
34,35,0.24221961419869711,0.36307823057539357,0.91578,0.8834
35,36,0.2382177503026369,0.4270365169753853,0.91812,0.8645
36,37,0.22914773340546124,0.3692687375667377,0.92064,0.8775
37,38,0.21888234101650583,0.43106975628973576,0.92338,0.8598
38,39,0.21462256607604918,0.387685305358598,0.92546,0.8777
39,40,0.21143127968910216,0.374298059807037,0.92598,0.8826
40,41,0.20927886946290084,0.3645104209002786,0.92668,0.8821
