,train_acc,train_loss,test_loss
0,0.3036,21.790647387504578,0.061412456154823304
1,0.3515,18.141335606575012,0.05564302763938904
2,0.4121,16.68568980693817,0.04976108057498932
3,0.4142,17.25135862827301,0.05013098503947258
4,0.4463,15.23088026046753,0.04871182361841202
5,0.4902,15.059657096862793,0.04358976625204086
6,0.4814,15.033995509147644,0.04571108998060226
7,0.4967,13.708947777748108,0.0436440256357193
8,0.5116,13.102398872375488,0.04455513487458229
9,0.5632,15.72357726097107,0.03786930817365646
10,0.5513,13.142869472503662,0.03979023819565773
11,0.5458,12.08315396308899,0.04051005155444145
12,0.5733,11.9756019115448,0.03691137788295746
13,0.5517,12.346406042575836,0.040197055500745774
14,0.6201,12.598990857601166,0.033231350034475325
15,0.6226,10.241151928901672,0.03350569608807564
16,0.591,10.656851530075073,0.03900226526856423
17,0.6009,11.113979995250702,0.0357965946316719
18,0.6235,9.994893550872803,0.03472702820897102
19,0.6517,10.061255872249603,0.03145497051775455
