,train_acc,train_loss
0,0.08,0.7995386326704303
1,0.07039999999999999,0.8273260135948657
2,0.11840000000000002,0.5979569049742876
3,0.07939999999999997,0.7548942401345509
4,0.11700000000000003,0.7261653400460879
5,0.14879999999999996,0.8581868574759897
6,0.16579999999999998,0.7859466294116445
7,0.11059999999999999,0.6563721533368032
8,0.15159999999999998,0.8290213083600004
9,0.09059999999999999,0.6586093946195777
10,0.1918,0.6088453093613174
11,0.11560000000000001,0.4540904356598266
12,0.1282,0.6372530787189802
13,0.12900000000000003,0.6259325176146294
14,0.11639999999999999,0.5544062247979229
15,0.2128,0.4507512521652905
16,0.0818,0.4832694273714474
17,0.15159999999999998,0.5092676008926033
18,0.18239999999999998,0.5446287426107219
19,0.17300000000000004,0.5010481555207742
20,0.12179999999999999,0.6372476993087265
21,0.1848,0.5456648322890235
22,0.08,0.6503914620350729
23,0.13799999999999998,0.424584549112737
24,0.18660000000000004,0.6227670312755638
25,0.23220000000000007,0.5390444375595285
26,0.2004,0.4859092743085542
27,0.1526,0.6874397663813497
28,0.1412,0.44936064916344354
29,0.09459999999999998,0.48209370488393083
30,0.12699999999999995,0.5681362553404081
31,0.15700000000000003,0.5128269885119193
32,0.24280000000000002,0.3896728794608416
33,0.2248,0.4541581706201801
34,0.18860000000000002,0.5501133344405227
35,0.11840000000000002,0.5807694682387066
36,0.11059999999999999,0.5066837310633613
37,0.22079999999999994,0.5430781039502471
38,0.157,0.5006102032903357
39,0.1838,0.4187631359595576
40,0.191,0.44844613099677694
41,0.1002,0.5139450338597816
42,0.18600000000000003,0.530580607702076
43,0.1728,0.5599581330259227
44,0.17279999999999998,0.5046524837840762
45,0.27720000000000006,0.4461570144299832
46,0.14,0.5130050441258936
47,0.1184,0.5646832451159651
48,0.18919999999999995,0.4797461097097969
49,0.22599999999999998,0.33762862685252915
50,0.2462,0.490081795844437
51,0.21240000000000003,0.32899993658216165
52,0.22139999999999993,0.3875164513356867
53,0.1254,0.41197738881342555
54,0.13819999999999993,0.34217990047206204
55,0.17139999999999997,0.4522358439564414
56,0.1894,0.5210609546469318
57,0.07079999999999999,0.3536604611567681
58,0.143,0.49904058889254677
59,0.1752,0.4621583908531143
60,0.203,0.5225074182326594
61,0.2833999999999999,0.3558127400911892
62,0.10559999999999999,0.3558005401312322
63,0.28719999999999996,0.5069092296822905
64,0.12099999999999998,0.30030177220440235
65,0.1862,0.5062969778430932
66,0.1064,0.4362818238251525
67,0.2540000000000001,0.45260180660850075
68,0.2064,0.4957201321820158
69,0.20439999999999997,0.3453677463989233
70,0.14959999999999998,0.46032075215577306
71,0.1648,0.4328920975420786
72,0.21220000000000003,0.4754624179727398
73,0.24220000000000003,0.3486849409878778
74,0.19699999999999995,0.4888220454245391
75,0.23300000000000004,0.39637877278101064
76,0.25719999999999993,0.3813103623907955
77,0.24820000000000014,0.3677792816433228
78,0.1426,0.3597540061042269
79,0.19500000000000003,0.43816283959769253
80,0.12839999999999996,0.39900731798882283
81,0.1394,0.42963746806761866
82,0.19719999999999996,0.4578453330070058
83,0.19399999999999998,0.37147481335647176
84,0.1194,0.4313143432198558
85,0.17099999999999999,0.4539080971984205
86,0.15180000000000002,0.38326344500531884
87,0.19320000000000004,0.3042768095267497
88,0.12979999999999997,0.2502602075036784
89,0.3446,0.3559007671294644
90,0.18539999999999995,0.3516479189448647
91,0.16620000000000001,0.35341442661185285
92,0.3834,0.33808726436246717
93,0.1662,0.4462974728261341
94,0.24719999999999995,0.4105714087907109
95,0.21059999999999998,0.3391700258360813
96,0.2633999999999999,0.39651365550629436
97,0.18419999999999997,0.34170426038740614
98,0.2278,0.32956893805246285
99,0.18080000000000002,0.34204290441683655
